,sample_idx,src_text,reference_fr,base_pred,ft_pred,bleu_base,bleu_ft
10,10,I feel like you are exactly what he needs.,Vous êtes ce qu'il lui faut.,J'ai l'impression que tu es exactement ce dont il a besoin.,J'ai l'impression que tu es exactement ce dont il a besoin.,4.02724819242185,4.02724819242185
11,11,- Makes your eyes wanna tear up.,- Ça fait pleurer.,- Tes yeux veulent se déchirer.,- Ça te donne envie de te déchirer les yeux.,7.809849842300637,8.29519350710986
12,12,"If it was easy for you to spot me, it would be easy for others.",D'autres me repéreront comme vous.,"S'il était facile pour vous de me repérer, ce serait facile pour les autres.","S'il était facile pour vous de me repérer, ce serait facile pour les autres.",3.21858262703621,3.21858262703621
13,13,"For example, some expect to live in large Western-style houses and are disappointed when they have to settle for modest apartments.","Ainsi, certaines s'attendent à vivre dans une grande maison de style occidental et seront déçues de devoir se contenter d'un modeste appartement.","Par exemple, certains s'attendent à vivre dans de grandes maisons de style occidental et sont déçus quand ils doivent s'installer pour des appartements modestes.","Par exemple, certains s'attendent à vivre dans de grandes maisons de style occidental et sont déçus quand ils doivent s'installer pour des appartements modestes.",19.58598294695434,19.58598294695434
14,14,Nujoma's son Utoni Nujoma is Deputy Minister of Justice and was elected to the Central Committee and Politburo of SWAPO at its November 2007 congress.,Sam Nujoma est resté le chef de la SWAPO jusqu’en 2007.,Le fils de Nujoma Utoni Nujoma est Vice-Ministre de la Justice et a été élu au Comité Central et Politburo du SWAPO lors de son congrès de novembre 2007.,Le fils de Nujoma Utoni Nujoma est Vice-Ministre de la Justice et a été élu au Comité Central et Politburo du SWAPO lors de son congrès de novembre 2007.,4.469635059139729,4.469635059139729
15,15,"Everyone, huh? Yeah.",- Tout le monde ?,"Tout le monde, hein ?","Tout le monde, hein ?",32.46679154750991,32.46679154750991
16,16,Mr. Cage?,M. Cage ?,M. Cage ?,M. Cage ?,100.00000000000004,100.00000000000004
17,17,EUR 200 million for the modernisation and extension of the digital telecommunications network.,200 millions d'euros pour l'extension et la modernisation d'un réseau numérique de télécommunications.,200 millions d'euros pour la modernisation et l'extension du réseau numérique de télécommunications.,200 millions d'euros pour la modernisation et l'extension du réseau numérique de télécommunications.,50.480055043434,50.480055043434
18,18,The public service today is a knowledge-based institution: a majority of its members are in the professional or management categories.,La fonction publique aujourd'hui est une institution fondée sur la connaissance : la majorité de ses membres appartiennent aux catégories professionnelles ou à la catégorie de la gestion.,La fonction publique est aujourd'hui une institution fondée sur le savoir : la majorité de ses membres appartiennent à des catégories professionnelles ou de gestion.,La fonction publique est aujourd'hui une institution fondée sur le savoir : la majorité de ses membres appartiennent à des catégories professionnelles ou de gestion.,39.94322125705669,39.94322125705669
19,19,"If we are to escape from France, we must have faith!","Si nous voulons fuir la France, nous devons avoir la foi !","Si nous voulons échapper à la France, nous devons avoir la foi !","Si nous voulons fuir la France, nous devons avoir la foi !",69.97522298221911,100.00000000000004
20,20,Comfortable studio flat with stunning ocean views located a stone's throw from the beaches and the lively Chambre d'Amour district.,"Studio confortable avec très belle vue sur mer, situé à deux pas des plages et du quartier animé de la Chambre d'Amour.",Studio confortable avec vue imprenable sur l'océan situé à deux pas des plages et du quartier animé de la Chambre d'Amour.,Studio confortable avec vue imprenable sur l'océan situé à deux pas des plages et du quartier animé de la Chambre d'Amour.,67.92460247793281,67.92460247793281
21,21,"CPA 10.83.14: Extracts, essences, concentrates and preparations of tea or maté","CPA 10.83.14: Extraits, essences, concentrés et préparations à base de thé ou de maté","CPA 10.83.14: Extraits, essences, concentrés et préparations de thé ou de maté","CPA 10.83.14: Extraits, essences, concentrés et préparations de thé ou de maté",76.67884230637945,76.67884230637945
22,22,"(9) The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health,","(9) Les mesures prévues par la présente décision sont conformes à l'avis du comité permanent de la chaîne alimentaire et de la santé animale,","(9) Les mesures prévues par la présente décision sont conformes à l'avis du comité permanent de la chaîne alimentaire et de la santé animale,","(9) Les mesures prévues par la présente décision sont conformes à l'avis du comité permanent de la chaîne alimentaire et de la santé animale,",100.00000000000004,100.00000000000004
23,23,Online (142 / 0):,Online (34 / 0):,En ligne (142 / 0):,En ligne (142 / 0):,36.55552228545123,36.55552228545123
24,24,Please don't leave me in here!,Ne me laissez pas là ! Je suis claustrophobe.,"S'il te plaît, ne me laisse pas ici !","S'il te plaît, ne me laisse pas ici !",5.522397783539471,5.522397783539471
25,25,"“In its decision 2004/128, the Commission on Human Rights decided to appoint an independent expert on the situation of human rights in the Sudan.","“In its decision 2004/128, the Commission on Human Rights decided to appoint an independent expert on the situation of human rights in the Sudan.","Dans sa décision 2004/128, la Commission des droits de l ' homme a décidé de nommer un expert indépendant sur la situation des droits de l ' homme au Soudan.","«Dans sa décision 2004/128, la Commission des droits de l'homme a décidé de nommer un expert indépendant sur la situation des droits de l'homme au Soudan.",8.10371533925042,9.24272533424404
26,26,"Advancing by 33 positions in comparison with 2011, ZTE is the first Chinese company to enter this list in 10th position.","ZTE est la première entreprise chinoise à entrer dans le ""top ten"" ; en occupant la 10e position, elle gagne 33 places par rapport à 2011.","L'avance de 33 positions par rapport à 2011, ZTE est la première société chinoise à inscrire cette liste en 10e position.","Lavance de 33 positions par rapport à 2011, ZTE est la première société chinoise à inscrire cette liste en 10e position.",19.433385054663837,19.433385054663837
27,27,38 500 ð.,35 000 ð.,38 500 ð. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,38 500 ð.,0.20766830926182123,31.947155212313625
28,28,"It should be noted that the two Nordic countries feature a very uneven population distribution, an element that is not considered in these ratios.","Il convient de souligner la répartition très inégale de la population des deux pays nordiques, élément qui n'est pas pris en compte dans ces ratios.","Il convient de noter que les deux pays nordiques présentent une répartition de la population très inégale, un élément qui n'est pas pris en compte dans ces ratios.","Il convient de noter que les deux pays nordiques présentent une répartition de la population très inégale, un élément qui n'est pas pris en compte dans ces ratios.",49.3995038439672,49.3995038439672
29,29,The proposed amendments to the test procedure and to the steering effort evaluation (TRANS/WP.29/GRRF/2002/24 and Add.1 and informal document No.3) did not receive any support and GRRF agreed not to continue consideration of the documents.,Les amendements proposés à la procédure d'essai et à l'évaluation de l'effort à la commande de direction (TRANS/WP.29/GRRF/2002/24 et Add.1 et document informel n° 3) n'ont été appuyés par aucune délégation et le GRRF est convenu de ne pas poursuivre l'examen de ces documents.,Les amendements proposés à la procédure d'essai et à l'évaluation de l'effort de direction (TRANS/WP.29/GRRF/2002/24 et Add.1 et document informel no 3) n'ont reçu aucun appui et le GRRF a décidé de ne pas poursuivre l'examen des documents.,Les amendements proposés à la procédure d'essai et à l'évaluation de l'effort de direction (TRANS/WP.29/GRRF/2002/24 et Add.1 et document informel no 3) n'ont reçu aucun appui et le GRRF a décidé de ne pas poursuivre l'examen des documents.,63.65073500546873,63.65073500546873
30,30,"He was sentenced to 146 months in prison; January 23, 2001 a Florida Department of Corrections officer with the Metro Dade Jail was convicted of assaulting a female inmate resulting in multiple contusions to her face, back and neck.","Il a été condamné à 146 mois d'emprisonnement; Le 23 janvier 2001, un agent de l'administration pénitentiaire d'État de Floride, en poste à la prison de Metro Dade, a été reconnu coupable d'avoir agressé une détenue, lui causant des contusions multiples au visage, au dos et au cou.","Il a été condamné à 146 mois de prison; le 23 janvier 2001, un agent du département pénitentiaire de Floride avec la prison de Metro Dade a été reconnu coupable d'avoir agressé une détenue, ce qui lui a causé de multiples contusions au visage, au dos et au cou.","Il a été condamné à 146 mois de prison; le 23 janvier 2001, un agent du Département de l'administration pénitentiaire de Floride avec la prison de Metro Dade a été reconnu coupable d'agression d'une détenue qui a causé de multiples contusions au visage, au dos et au cou.",55.379055778326446,47.261751381740375
31,31,"Hey, you.","Hé, toi.","Hé, vous.","Hé, toi.",35.35533905932737,100.00000000000004
32,32,"However, they felt that the proposal could serve as a basis for further discussions between the parties, assisted by a mediator.","La proposition pourrait toutefois servir de plate-forme pour d'autres pourparlers entre les parties, avec l'aide d'un médiateur.","Toutefois, ils ont estimé que la proposition pourrait servir de base à d'autres discussions entre les parties, avec l'aide d'un médiateur.","Toutefois, ils ont estimé que la proposition pourrait servir de base à d'autres discussions entre les parties, avec l'aide d'un médiateur.",38.967188124490924,38.967188124490924
33,33,"Your vision of the future of European construction is all very interesting but you must, as a priority, return to working order the institution for which you will be required to assume responsibility when your appointment has been confirmed by the European Parliament.","Votre vision de l'avenir de la construction européenne nous intéresse beaucoup, mais elle ne saurait vous dispenser de remettre, prioritairement, en état de marche l'institution dont vous serez appelé à assumer la responsabilité lorsque votre désignation aura été confirmée par le Parlement européen.","Votre vision de l'avenir de la construction européenne est très intéressante, mais vous devez, en priorité, reprendre l'ordre de travail de l'institution dont vous serez tenu d'assumer la responsabilité lorsque votre nomination aura été confirmée par le Parlement européen.","Votre vision de l'avenir de la construction européenne est très intéressante, mais vous devez, en priorité, reprendre l'ordre de travail de l'institution dont vous serez tenu d'assumer la responsabilité lorsque votre nomination aura été confirmée par le Parlement européen.",42.114203055055064,42.114203055055064
34,34,Nobody's getting reception.,On n'a pas de réseau.,Personne ne reçoit la réception.,Personne ne reçoit la réception.,8.116697886877475,8.116697886877475
35,35,"- In a safe, dry place.",- Dans un endroit sûr.,- Dans un endroit sûr et sec.,- Dans un endroit sûr et sec.,54.10822690539397,54.10822690539397
36,36,Jesus...,Bon Dieu...,Mon Dieu...,Mon Dieu...,66.87403049764218,66.87403049764218
37,37,What has happened between you?,Que s'est-il passé entre vous ?,Que s'est-il passé entre vous ?,Que s'est-il passé entre vous ?,100.00000000000004,100.00000000000004
38,38,It's pretty great.,C'est plutôt sympa.,C'est plutôt génial.,C'est plutôt génial.,35.35533905932737,35.35533905932737
39,39,She's counting her days.,Il lui reste très peu de temps à vivre.,Elle compte ses jours.,Elle compte ses jours.,3.929752628321626,3.929752628321626
40,40,CHAPTER IV,CHAPITRE IV,CHAPITRE IV,CHAPITRE IV,0.0,0.0
41,41,Help! Help!,Au secours !,À l'aide !,À l'aide !,0.0,0.0
42,42,But I...,"Mais moi, je...",Mais je...,Mais je...,47.39878501170795,47.39878501170795
43,43,Damn it.,Mince.,C'est pas vrai.,Merde.,15.97357760615681,0.0
44,44,- Just wait.,- Attends.,- Attendez.,- Attendez.,0.0,0.0
45,45,General debate,Débat général,Débat général,Débat général,0.0,0.0
46,46,"We've been watching you and Mr. Frank Smith, here, for a very long time.","Ça fait longtemps qu'on vous surveille, toi et M. Smith.","On vous observe, vous et M. Frank Smith, ici, depuis très longtemps.","On vous observe, vous et M. Frank Smith, ici, depuis très longtemps.",10.878661088699644,10.878661088699644
47,47,It must be here for you.,Il doit venir vous chercher.,Il doit être là pour toi.,Il doit être là pour toi.,14.535768424205482,14.535768424205482
48,48,"Sven, don't you think I'm right?","Sven, tu ne penses pas ?","Sven, tu ne crois pas que j'ai raison ?","Sven, tu ne crois pas que j'ai raison ?",29.071536848410968,29.071536848410968
49,49,"Country office reports indicate a remarkably rapid increase during the year in the number of initiatives to support MDG reporting, and continued progress on the development and use of NHDRs.",Source de données.,Les rapports des bureaux de pays indiquent une augmentation remarquablement rapide au cours de l ' année du nombre d ' initiatives visant à appuyer l ' établissement de rapports sur les objectifs du Millénaire pour le développement et la poursuite des progrès dans l ' élaboration et l ' utilisation des rapports nationaux.,Les rapports des bureaux de pays font état d'une augmentation remarquablement rapide au cours de l'année du nombre d'initiatives visant à appuyer l'établissement de rapports sur les objectifs du Millénaire pour le développement et de progrès continus dans l'élaboration et l'utilisation des rapports nationaux.,0.7860561859628806,0.9668670750672484
50,50,But he confessed.,Mais il a avoué.,Mais il a avoué.,Mais il a avoué.,100.00000000000004,100.00000000000004
51,51,"In response to Public Notice CRTC 1986-27, the Commission received some 4,500 submissions commenting on the proposed changes to the regulations, the vast majority of which dealt with the rate-setting provisions.","En réponse à l'avis public CRTC 1986-27, le Conseil a reçu quelque 4 500 mémoires traitant des modifications proposées au Règlement, dont la grande majorité portaient sur les dispositions relatives à la tarification.","En réponse à l'avis public CRTC 1986-27, le Conseil a reçu quelque 4 500 mémoires faisant état des modifications proposées au règlement, dont la grande majorité portait sur les dispositions relatives à l'établissement des tarifs.","En réponse à l'avis public CRTC 1986-27, le Conseil a reçu quelque 4 500 mémoires faisant état des modifications proposées au règlement, dont la grande majorité portait sur les dispositions relatives à l'établissement des tarifs.",67.05803488125281,67.05803488125281
52,52,You're just looking at the ingredients...,On ne comprend rien à la composition des médicaments.,Tu regardes juste les ingrédients...,Tu regardes juste les ingrédients...,4.300847718252331,4.300847718252331
53,53,"You're working for the suits, aren't you?",Tu bosses pour les Costards.,"Vous travaillez pour les costumes, n'est-ce pas ?","Vous travaillez pour les costumes, n'est-ce pas ?",9.535414040914192,9.535414040914192
54,54,Your browsing habits will be tracked and hackers display malicious ads based on your browsing pattern. It affects your data and your system’s registry. It interrupt your PC by distributing you to strange site that are packed with pop-up ads. So that it is very important to remove Daring Deals Adsbefore they infect system completely.,Elle affecte vos données et le registre de votre système. Il interrompre votre PC en vous distribuant à étrange site qui sont emballés avec des annonces pop-up. De sorte qu'il est très important de remove Daring Deals Ads avant qu'ils ne infectent système complètement.,Elle affecte vos données et votre registre. Il interrompre votre PC en vous distribuant à étrange site qui sont emballés avec des annonces pop-up. De sorte qu'il est très important de remove Daring Deals Ads avant qu'ils ne infectent système complètement.,Elle affecte vos données et le registre de votre système. Il interrompre votre PC en vous distribuant à étrange site qui sont emballés avec des annonces pop-up. De sorte quil est très important de remove Daring Deals Adsavant quils ne infectent système complètement.,86.6064294349278,84.36031995631312
55,55,MEASURES TO IMPROVE INTELLIGENCE QUALITY IN THE UNITED STATES,MESURES POUR AMÉLIORER LA QUALITÉ DES ACTIVITÉS DE RENSEIGNEMENT AUX ÉTATS-UNIS,MESURES VISANT À AMÉLIORER LA QUALITÉ DE L'INTELLIGENCE AUX ÉTATS-UNIS,MESURES VISANT À AMÉLIORER LA QUALITÉ DE L'INTELLIGENCE AUX ÉTATS-UNIS,19.331263581394154,19.331263581394154
56,56,You'll never know.,Vous ne le saurez jamais.,Tu ne le sauras jamais.,Tu ne le sauras jamais.,22.957488466614336,22.957488466614336
57,57,@EhCherif: Live shots fired by snipers who killed five unarmed protesters until now.,@EhCherif: Tirs à balles réelles par snipers qui ont tué cinq manifestants désarmés jusqu'à présent.,@EhCherif: Coups de feu en direct tirés par des tireurs embusqués qui ont tué cinq manifestants non armés jusqu'à maintenant.,@EhCherif: Coups de feu en direct tirés par des snipers qui ont tué cinq manifestants non armés jusqu'à maintenant.,22.325877055095226,29.10624919304027
58,58,My father and Lin got along famously.,Mon père et Lin s'entendaient très bien.,Mon père et Lin s'entendaient bien.,Mon père et Lin s'entendaient bien.,61.29752413741059,61.29752413741059
59,59,"Our nostalgic postcard range now numbers over 300 cards, providing an unparalleled view of British consumer history. That is why they are considered by many to be collector's items.",Code: 01CH17. La sélection de cartes que nous vous proposons s'élève désormais à plus de 300 pièces offrant une vision inégalée de l'histoire de la publicité britannique.,Notre sélection de cartes nostalgiques compte maintenant plus de 300 pièces offrant une vue inégalée de l'histoire de la consommation britannique. C'est pourquoi beaucoup les considèrent comme des articles de collection.,Notre sélection de cartes nostalgiques compte maintenant plus de 300 pièces offrant une vue inégalée de l'histoire de la publicité britannique. C'est pourquoi elles sont considérées par beaucoup comme des articles de collection.,30.191578726356447,36.44752842526011
60,60,The one and only solution:,La seule et unique solution:,La seule et unique solution:,La seule et unique solution:,100.00000000000004,100.00000000000004
61,61,"Fifteen projects amounting to 28,4 million EUA were financed in 1978 (56.5 million EUA at 31 December 1978).","Quinze projets d'un montant de 28,4 millions d'UCE ont été finan­cés en 1978 (56,5 millions d'UCE au 31 décembre 1978).","Quinze projets d'un montant de 28,4 millions d'UCE ont été financés en 1978 (56,5 millions d'UCE au 31 décembre 1978).","Quinze projets d'un montant de 28,4 millions d'UCE ont été financés en 1978 (56,5 millions d'UCE au 31 décembre 1978).",87.87419089273847,87.87419089273847
62,62,Like they wouldn't say what they're paid to.,Ils disent pas ce pour quoi on les a payés?,Comme s'ils ne disaient pas à quoi ils étaient payés.,Comme s'ils ne disaient pas à quoi ils étaient payés.,4.9323515694897075,4.9323515694897075
63,63,"5.2 Earnings As in our earnings comparisons for broad skill groups, we begin our earnings comparisons for the lowest-skilled and highest-skilled groups with annual earnings, which combine the effects of earnings per unit of time worked in the year.","Comme nous l'avons fait dans nos comparaisons de la rémunération des grands groupes de travailleurs peu qualifiés et hautement qualifiés, nous amorçons nos comparaisons de la rémunération des groupes les moins qualifiés et les plus qualifiés en analysant la rémunération annuelle, soit le cumul de la rémunération par unité de temps de travail dans l'année.","5.2 Gains Comme dans nos comparaisons de gains pour les grands groupes de compétences, nous commençons nos comparaisons de gains pour les groupes les moins qualifiés et les plus qualifiés avec des gains annuels, qui combinent les effets des gains par unité de temps travaillé au cours de l'année.","5.2 Gains Comme dans nos comparaisons de gains pour les grands groupes de compétences, nous commençons nos comparaisons de gains pour les groupes les moins qualifiés et les plus qualifiés avec des gains annuels, qui combinent les effets des gains par unité de temps travaillé au cours de l'année.",26.32102771233557,26.32102771233557
64,64,"Acknowledgement The Chair of the Strategic Options Process Issue Table would like to extend appreciation to the Issue Table Secretariat and all the active members, observers, corresponding members, consultants, and other stakeholders that contributed to the development and review of this report.","Remerciements Le président de la Table de concertation du Processus des options stratégiques remercie le Secrétariat de la Table et tous les membres actifs, observateurs, membres correspondants, experts-conseils et autres intervenants qui ont contribué à l'élaboration et à l'examen du présent rapport.* Pour renseignements Veuillez contacter :","Remerciements Le président de la Table de concertation sur le processus des options stratégiques tient à remercier le Secrétariat de la Table de concertation et tous les membres actifs, les observateurs, les membres correspondants, les consultants et les autres intervenants qui ont contribué à l'élaboration et à l'examen du présent rapport.","Remerciements Le président de la Table de concertation sur le processus des options stratégiques aimerait remercier le Secrétariat de la Table de concertation et tous les membres actifs, les observateurs, les membres correspondants, les consultants et les autres intervenants qui ont contribué à l'élaboration et à l'examen du présent rapport.",56.08140700518117,57.15010455879555
65,65,A Bill to that effect was tabled in the House of Commons by Minister Copps.,La ministre Copps a d'ailleurs déposé un projet de loi en ce sens à la Chambre des communes.,La ministre Copps a déposé un projet de loi à cet effet à la Chambre des communes.,La ministre Copps a déposé un projet de loi à cet effet à la Chambre des communes.,57.056605184324425,57.056605184324425
66,66,"The Parties to the 1958 Agreement which apply this Regulation shall communicate to the United Nations secretariat the names and addresses of the technical services responsible for conducting approval tests and of the administrative departments which grant approval and to which forms certifying approval or extension or refusal or withdrawal of approval, or production definitely discontinued issued in other countries, are to be sent.",Les parties à l'accord de 1958 appliquant le présent règlement doivent communiquer au secrétariat de l'Organisation des Nations unies les noms et adresses des services techniques chargés des essais d'homologation et ceux des services administratifs qui délivrent l'homologation et auxquels doivent être envoyées les fiches d'homologation ou d'extension ou de refus ou de retrait d'homologation ou l'arrêt définitif de la production émises dans d'autres pays.,"Les Parties à l ' Accord de 1958 appliquant le présent Règlement communiquent au secrétariat de l ' Organisation des Nations Unies les noms et adresses des services techniques chargés des essais d ' homologation et des services administratifs qui délivrent l ' homologation et auxquels doivent être envoyées les fiches d ' homologation, d ' extension, de refus ou de retrait d ' homologation, ou encore les fiches d ' arrêt définitif de la production émises dans d ' autres pays.","Les Parties à l'Accord de 1958 appliquant le présent Règlement communiquent au secrétariat de l'Organisation des Nations Unies les noms et adresses des services techniques chargés des essais d'homologation et des services administratifs qui délivrent l'homologation et auxquels doivent être envoyées les fiches d'homologation, d'extension, de refus ou de retrait d'homologation ou d'arrêt définitif de la production émises dans d'autres pays.",36.97467763769849,68.37577029406546
67,67,Locque.,Locque.,Locque.,Locque.,0.0,0.0
68,68,You do it.,À toi l'honneur.,Fais-le.,Fais-le.,0.0,0.0
69,69,"More than 30 000 fans and bloggers logged on to the Total website for the press conference and watched it on Wechat, for example.”",Plus de 30.000 fans et Blogeurs se sont connectés au site de Total pendant la conférence de presse et l’ont visionnée sur Wechat par exemple.,"Plus de 30 000 fans et blogueurs se sont connectés au site Total pour la conférence de presse et l'ont regardé sur Wechat, par exemple.","Plus de 30 000 fans et blogueurs se sont connectés au site Internet Total pour la conférence de presse et l'ont regardé sur Wechat, par exemple.»",36.2585768645759,33.617046856736515
70,70,"(c) Regional activities to improve data on imports and exports of mercury and enforcement of customs control through, for example, the Green Customs initiative;","c) Des activités régionales pour améliorer les données sur les importations et exportations de mercure et assurer l'application effective du contrôle douanier, dans le cadre par exemple de l'Initiative des douanes vertes;","c) Activités régionales visant à améliorer les données sur les importations et les exportations de mercure et le contrôle douanier par le biais, par exemple, de l ' initiative Douanes vertes;","c) Activités régionales visant à améliorer les données sur les importations et les exportations de mercure et le contrôle douanier par le biais, par exemple, de l'initiative Douanes vertes;",30.208703617524396,30.23968158014181
71,71,The owner and his grandson that he shot to death.,le propriétaire et son petit-fils qu'il a abattus.,Le propriétaire et son petit-fils qu'il a abattu.,Le propriétaire et son petit-fils qu'il a abattu.,61.04735835807847,61.04735835807847
72,72,- Please.,- Merci.,- S'il te plaît.,- S'il te plaît.,12.703318703865365,12.703318703865365
73,73,"To determine where to deliver your product, think about where the target audiences make decisions about the desired behaviour , or where you could encourage the target audience to perform the behaviour.","Pour déterminer l'endroit où le produit doit être présenté, il faut penser aux endroits où les membres du public cible prennent des décisions concernant le comportement désiré, ou penser à l'endroit où on peut encourager le public cible à adopter ce comportement.","Pour déterminer où livrer votre produit, pensez à l'endroit où les publics cibles prennent des décisions sur le comportement souhaité, ou où vous pourriez encourager l'auditoire cible à effectuer le comportement.","Pour déterminer où livrer votre produit, pensez à l'endroit où les publics cibles prennent des décisions au sujet du comportement désiré, ou à l'endroit où vous pourriez encourager l'auditoire cible à effectuer le comportement.",8.675585385148521,13.632375242947846
74,74,You want to go back?,Tu veux repartir ?,Tu veux y retourner ?,Tu veux y retourner ?,23.643540225079384,23.643540225079384
75,75,Dad.,Papa.,Papa.,Papa.,0.0,0.0
76,76,"""... I'll club you to conversion.""","""c'est à coups de bâton que je vous convertirai.""","""... je vais te mettre en boîte pour la conversion.""","""... je vais te mettre en boîte pour la conversion.""",6.250381527944883,6.250381527944883
77,77,"This one's got a whole whack of problems, starting with zero power.","Celui-ci a tout un tas de problèmes, et plus d'énergie.","Celui-ci a tout un tas de problèmes, en commençant par zéro puissance.","Celui-ci a un tas de problèmes, en commençant par zéro puissance.",52.960749334062214,34.38931217657843
